ebene_resultat;wahl_jahr;geoLevelName;kanton_nummer;kanton_bezeichnung;gemeinde_nummer;gemeinde_bezeichnung;partei_id_red1;partei_bezeichnung_de;partei_bezeichnung_fr;partei_bezeichnung_it;partei_bezeichnung_en;stimmen_partei;letzte_wahl_stimmen_partei;differenz_stimmen_partei;anzahl_listen;anzahl_kandidierende;anzahl_kandidierende_f;anzahl_kandidierende_m;anzahl_gewaehlte;anzahl_gewaehlte_f;anzahl_gewaehlte_m;letzte_wahl_anzahl_gewaehlte;letzte_wahl_anzahl_gewaehlte_f;letzte_wahl_anzahl_gewaehlte_m;differenz_anzahl_gewaehlte;differenz_anzahl_gewaehlte_f;differenz_anzahl_gewaehlte_m;fiktive_waehlende;letzte_wahl_fiktive_waehlende;differenz_fiktive_waehlende;partei_staerke;letzte_wahl_partei_staerke;differenz_partei_staerke;flag_staerkste_partei;partei_rang
Gemeinde;2023;Wäldi;20;Thurgau;4701;Wäldi;1;FDP;PLR;PLR;FDP;147;119;28;;;;;;;;;;;;;;;;;6.0869565217;6.0283687943;0.0585877274;0;4
Gemeinde;2023;Wäldi;20;Thurgau;4701;Wäldi;3;SP;PS;PS;SP;156;156;0;;;;;;;;;;;;;;;;;6.4596273292;7.9027355623;-1.443108233;0;3
Gemeinde;2023;Wäldi;20;Thurgau;4701;Wäldi;4;SVP;UDC;UDC;SVP;1395;1143;252;;;;;;;;;;;;;;;;;57.763975155;57.902735562;-0.138760407;1;1
Gemeinde;2023;Wäldi;20;Thurgau;4701;Wäldi;7;EVP;PEV;PEV;EVP;45;59;-14;;;;;;;;;;;;;;;;;1.8633540373;2.9888551165;-1.125501079;0;9
Gemeinde;2023;Wäldi;20;Thurgau;4701;Wäldi;13;GRÜNE;VERT-E-S;VERDI;GREENS;143;122;21;;;;;;;;;;;;;;;;;5.9213250518;6.1803444782;-0.259019426;0;5
Gemeinde;2023;Wäldi;20;Thurgau;4701;Wäldi;16;EDU;UDF;UDF;EDU;71;24;47;;;;;;;;;;;;;;;;;2.9399585921;1.2158054711;1.724153121;0;8
Gemeinde;2023;Wäldi;20;Thurgau;4701;Wäldi;31;GLP;PVL;PVL;GLP;90;112;-22;;;;;;;;;;;;;;;;;3.7267080745;5.6737588652;-1.947050791;0;7
Gemeinde;2023;Wäldi;20;Thurgau;4701;Wäldi;34;Mitte;Centre;Centro;Centre;265;239;26;;;;;;;;;;;;;;;;;10.973084886;12.10739615;-1.134311264;0;2
Gemeinde;2023;Wäldi;20;Thurgau;4701;Wäldi;35;Übrige;Autres;Altri;Others;103;;103;;;;;;;;;;;;;;;;;4.265010352;;4.265010352;0;6
Gemeinde;2023;Affeltrangen;20;Thurgau;4711;Affeltrangen;1;FDP;PLR;PLR;FDP;353;278;75;;;;;;;;;;;;;;;;;6.3216332378;6.5457970332;-0.224163795;0;3
Gemeinde;2023;Affeltrangen;20;Thurgau;4711;Affeltrangen;3;SP;PS;PS;SP;273;278;-5;;;;;;;;;;;;;;;;;4.8889684814;6.5457970332;-1.656828552;0;5
Gemeinde;2023;Affeltrangen;20;Thurgau;4711;Affeltrangen;4;SVP;UDC;UDC;SVP;3118;2336;782;;;;;;;;;;;;;;;;;55.838108883;55.003531905;0.8345769776;1;1
