kanton_nummer;kanton_bezeichnung;liste_nummer;liste_nummer_kanton;liste_bezeichnung;liste_1;liste_2;liste_3;liste_4;liste_5;liste_6;liste_7;liste_8;liste_9;liste_10;liste_11;liste_12;liste_13;liste_14;liste_15;liste_16;liste_17;liste_18;liste_19;liste_20;liste_21;liste_22;liste_23;liste_24;liste_25;liste_26;liste_27;liste_28;liste_29;liste_30;liste_31;liste_32;liste_33;liste_34;liste_35;liste_36;liste_37;liste_38;liste_39;liste_40;liste_41;liste_42;liste_43;liste_44;liste_45;liste_46;liste_47;liste_48;liste_49;liste_50;liste_51;liste_52;liste_ohne_listenbezeichnung;stimmen_liste_veraendert;stimmen_liste_unveraendert;stimmen_liste;wahlzettel_liste_unveraendert;wahlzettel_liste_veraendert;wahlzettel_liste;wahlzettel_ohne_listenbez
2;Bern / Berne;20;20;Grünliberale Energie // Vert’libéraux Energie;357;55;200;625;15;568;21;6;576;42;19;14;31;22;4198;193;83;25;176;5035;31;20;105;469;21;127;12;3;13;24;1;4;126;5;5;13;21;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;3011;16287;13104;29391;546;335;881;
2;Bern / Berne;21;21;Grünliberale Queer & Allies // Vert'libéraux Queer & Allies;123;20;269;805;45;357;78;27;285;40;5;6;12;8;1907;214;34;22;104;29;1788;15;68;153;11;76;3;20;2;17;1;3;127;0;0;3;5;15;9;0;0;0;0;0;0;0;0;0;0;0;0;0;2120;8826;3960;12786;165;144;309;
2;Bern / Berne;22;22;Grünliberale Kreative // Vert’libéraux Créatives et Créatifs;225;19;241;711;42;485;58;34;470;86;11;18;13;5;2259;220;48;34;103;55;62;1733;70;265;21;119;11;18;16;23;1;6;134;3;8;6;25;13;10;0;0;0;0;0;0;0;0;0;0;0;0;0;2606;10287;5112;15399;213;108;321;
2;Bern / Berne;23;23;Grünliberale Tier und Natur // Vert’libéraux Animaux et Nature;462;63;323;901;18;1108;66;21;620;58;12;42;17;25;3086;191;37;33;102;98;49;19;6395;402;29;122;12;24;16;50;4;8;138;18;2;24;52;28;45;0;0;0;0;0;0;0;0;0;0;0;0;0;3751;18471;22008;40479;917;435;1352;
2;Bern / Berne;24;24;FDP.Die Liberalen Kanton Bern // PLR.Les Libéraux-Radicaux du canton de Berne;32936;2107;1959;3412;27;1483;63;10;13526;287;176;180;274;181;11847;248;252;121;101;190;58;26;200;237925;1271;1303;100;66;60;990;29;29;344;125;19;120;173;446;118;0;0;0;0;0;0;0;0;0;0;0;0;0;28468;341250;284616;625866;11859;13171;25030;
2;Bern / Berne;25;25;Jungfreisinnige // Jeunes Libéraux-Radicaux;1030;166;119;289;13;114;34;1;634;135;20;39;28;10;858;126;29;9;31;28;30;12;33;3466;7352;87;9;12;4;36;8;21;162;26;14;33;50;13;42;0;0;0;0;0;0;0;0;0;0;0;0;0;3120;18243;8808;27051;367;431;798;
2;Bern / Berne;26;26;Evangelische Volkspartei // Parti Evangélique;5127;383;1373;3047;30;2119;96;38;3966;191;69;51;42;134;3836;158;36;31;83;59;28;23;110;1810;42;98133;470;742;645;4076;134;132;275;48;11;41;169;103;31;0;0;0;0;0;0;0;0;0;0;0;0;0;11229;139121;127968;267089;5332;5664;10996;
2;Bern / Berne;27;27;Evangelische Volkspartei KMU // Parti Evangélique PME;1461;136;231;520;10;376;34;3;788;64;29;39;22;44;607;27;24;18;17;16;7;11;21;442;8;3964;5885;185;163;1011;54;46;68;21;9;21;74;54;18;0;0;0;0;0;0;0;0;0;0;0;0;0;3182;19710;11064;30774;461;332;793;
2;Bern / Berne;28;28;Evangelische Volkspartei Zukunft // Parti Evangélique Avenir;429;54;308;1051;58;709;157;45;572;180;26;18;20;46;980;183;22;5;99;34;8;18;46;155;18;3342;139;6685;193;400;49;62;400;5;3;21;18;12;18;0;0;0;0;0;0;0;0;0;0;0;0;0;4477;21065;14688;35753;612;407;1019;
2;Bern / Berne;29;29;Evangelische Volkspartei Erfahrung // Parti Evangélique Expérience;884;66;296;690;16;561;45;14;731;94;20;44;12;34;792;43;17;14;31;16;6;12;29;277;3;5370;188;358;6263;872;67;74;148;24;3;26;37;23;23;0;0;0;0;0;0;0;0;0;0;0;0;0;3617;21840;14784;36624;616;361;977;
